,input,filtered,denoisedF,denoisedR,merged,nonchim
3G-C-6,198912,189367,189163,189179,188533,182150
3G-D-1,62634,59397,59346,59331,58823,57540
3G-D-2,92115,88406,88325,88339,88040,85935
3G-D-3,98401,94821,94751,94753,94526,91468
3G-D-4,84896,81495,81432,81424,80997,78084
3G-D-5,85719,79994,79856,79764,79173,78006
3G-D-6,74487,69997,69833,69822,69271,66912
3G-E-1,20271,19298,19249,19222,19122,19122
3G-E-2,104134,99724,99435,99608,98907,96206
3G-E-3,277082,265202,264962,265043,258575,249318
3G-E-4,80420,76823,76741,76752,76057,74331
3G-E-5,58665,55363,55239,55239,54981,54413
3G-E-6,74424,71237,71116,71088,70790,68499
7C-A-3,40395,38730,38586,38608,37632,37302
7C-A-4,45448,42939,42763,42715,41386,41049
7C-A-5,37928,35639,35543,35496,34689,34346
7C-A-6,34144,32302,32245,32229,31702,31295
7C-A-7,62974,60038,59914,59908,58873,58145
7C-B-2,50915,48111,47902,47836,47302,47041
7C-B-3,47695,45631,45483,45489,44853,44447
7C-B-4,29578,28100,27998,28003,27855,27687
7C-B-5,55906,53591,53482,53481,52971,52635
7C-B-6,51161,48863,48794,48818,48333,47376
7C-B-7,42438,39694,39642,39607,38856,38674
7C-C-2,53637,51020,50854,50830,49737,49503
7C-C-3,30712,29327,29231,29192,28598,28439
7C-C-4,37763,36203,36073,36048,35856,35571
7C-C-5,48455,45684,45538,45535,44859,44574
7C-C-6,49734,47031,46957,46922,46656,45800
7C-C-7,80355,72252,72057,72059,69836,68428
7C-D-2,47416,44575,44391,44374,44086,43681
7C-D-3,69735,65664,65396,65358,64317,63662
7C-D-4,46503,44378,44278,44230,43507,43175
7C-D-5,34069,32057,31981,31992,31877,31667
7C-D-6,55300,53133,53070,53063,52683,51795
7C-D-7,68373,61791,61687,61543,60404,59520
7C-E-2,17747,16589,16507,16473,16138,16138
7C-E-3,35429,33679,33527,33541,32935,32548
7C-E-4,618,466,414,397,379,379
7C-E-5,42724,40863,40753,40750,40286,39782
7C-E-6,67601,64213,64131,64091,63423,62426
7C-E-7,81578,77703,77591,77598,76714,75428
7G-A-3,38784,37335,37203,37153,36875,35482
7G-A-4,38015,35971,35838,35857,35573,34895
7G-A-5,77604,73967,73839,73876,73375,71746
7G-A-6,59000,56439,56371,56372,55930,54488
7G-A-7,38899,36993,36966,36970,36775,35948
7G-B-3,25370,23920,23789,23750,23492,22706
7G-B-4,31279,29632,29555,29548,29346,28861
7G-B-5,55308,52930,52852,52845,52561,51540
7G-B-6,37597,36174,36110,36113,35836,35021
7G-B-7,79179,76198,76103,76072,75630,73113
7G-C-3,46766,45262,45024,45147,44857,43576
7G-C-4,56693,54527,54430,54423,53945,52416
7G-C-5,46733,44385,44300,44300,44066,42681
7G-C-6,80263,76415,76316,76372,75921,73924
7G-C-7,83929,80453,80417,80418,79872,77545
7G-D-3,90267,86487,86276,86338,85661,83198
7G-D-4,45192,42710,42527,42604,42205,41179
7G-D-5,34553,32722,32628,32617,32344,32001
7G-D-6,57646,54981,54960,54952,54728,53831
7G-D-7,96864,92372,92264,92317,91440,88387
7G-E-3,28075,26813,26743,26755,26667,26456
7G-E-4,50344,48706,48603,48504,48222,47155
7G-E-5,45948,43914,43842,43857,43591,42345
7G-E-6,47138,44880,44790,44846,44568,43432
7G-E-7,76831,73574,73536,73543,73134,71388
negative-1,176,129,104,99,80,80
negative-2,1325,1217,1195,1181,1165,1165
negative-3,362,307,284,266,254,254
negative-4,909,826,812,796,779,779
sum,10519882,9956226,9937625,9933419,9670900,9479799
