,input,filtered,denoisedF,denoisedR,merged,nonchim
2C-A-4,34034,32347,32296,32262,30644,30555
2C-A-5,58667,55780,55696,55678,55347,54255
2C-A-6,52396,50339,50183,50211,48105,47598
2C-A-7,76028,72673,72490,72538,67583,66916
2C-B-4,71390,68582,68502,68503,62382,61588
2C-B-5,47592,44955,44892,44801,44483,43274
2C-B-6,89780,84588,84428,84397,78247,77551
2C-B-7,914,675,605,610,540,535
2C-C-4,66540,63012,62912,62871,59104,58522
2C-C-5,11364,10721,10685,10676,10564,10522
2C-C-6,77248,73392,73248,73279,69779,68989
2C-C-7,428,345,317,314,281,281
2C-D-4,74114,71762,71685,70951,67792,66924
2C-D-5,71999,68374,68283,68265,67844,66429
2C-D-6,72478,68503,68372,68358,65043,64628
2C-D-7,57183,54578,54476,54455,51839,51321
2C-E-3,95508,91216,91070,90942,83155,81953
2C-E-4,820,668,636,621,583,583
2C-E-5,58411,54941,54844,54846,54329,53169
2C-E-6,75126,70912,70778,70780,67546,67014
2C-E-7,61596,58467,58348,58311,55992,55631
2G-A-3,78769,74357,74279,74257,73901,72553
2G-A-4,59076,55819,55770,55769,55370,54118
2G-A-5,298,212,194,181,154,154
2G-A-6,73063,70667,70536,70561,70006,68839
2G-A-7,101118,95144,94967,95044,93711,91684
2G-B-3,52731,50178,50084,50140,49875,49375
2G-B-4,111483,104763,104655,104660,103645,100363
2G-B-5,549,427,395,382,345,345
2G-B-6,60069,56989,56844,56915,56543,55427
2G-B-7,115139,107892,107808,107799,106601,103670
2G-C-2,83870,79693,79583,79504,78986,76925
2G-C-3,82496,78433,78364,78317,78025,75957
2G-C-4,53563,50807,50793,50767,50612,50222
2G-C-5,477,368,347,332,301,301
2G-C-6,34401,32619,32566,32564,32455,32066
2G-C-7,57066,53469,53370,53373,52683,51421
2G-D-2,44606,42385,42367,42346,42202,41563
2G-D-3,70386,67082,67045,67037,66767,64788
2G-D-4,96094,90805,90740,90664,90213,87478
2G-D-5,69883,66821,66696,66676,66087,63928
2G-D-6,54096,51974,51866,51915,51713,50441
2G-D-7,112141,106915,106830,106828,105910,102259
2G-E-2,81670,78290,78221,78095,77590,75405
2G-E-4,67747,63229,63151,63144,62189,59787
2G-E-5,64532,61128,60962,61055,60628,59682
2G-E-6,53584,50872,50806,50787,50522,49324
2G-E-7,110824,105371,105285,105292,103966,100389
3C-A-1,60120,56881,56717,56740,51988,51498
3C-A-2,103190,96514,96369,96327,89316,88504
3C-A-3,134735,126602,126451,126358,118957,117418
3C-A-4,94175,88874,88678,88723,83543,82506
3C-A-5,92581,85580,85411,85412,79451,78370
3C-A-6,79599,71900,71647,71591,67895,66837
3C-B-1,61619,57448,57325,57273,51689,51084
3C-B-2,82258,78104,77891,77956,70479,69449
3C-B-3,141836,132289,132029,132079,124508,122658
3C-B-4,110230,100992,100744,100495,87654,86480
3C-B-5,66604,60928,60711,60575,55434,54711
3C-B-6,55660,50706,50525,50523,47556,47247
3C-C-1,78235,75059,74883,74376,71031,70239
3C-C-2,79249,74412,74318,73911,68799,68283
3C-C-3,88659,83715,83619,83620,79161,78498
3C-C-4,111369,104123,103917,103440,94830,93924
3C-C-5,71228,66128,65958,65759,60892,60291
3C-C-6,70462,64826,64681,64681,60787,60054
3C-D-1,103877,96991,96828,96856,91538,90283
3C-D-2,116853,111585,111414,111362,105792,104270
3C-D-3,57334,54102,53979,53972,50967,50253
3C-D-4,79612,73359,73109,72977,66719,66096
3C-D-5,72326,66179,65956,65803,62351,61493
3C-D-6,74243,67454,67339,67217,62623,61850
3C-E-1,242,179,165,162,144,144
3C-E-2,86055,80790,80644,80606,73574,72794
3C-E-3,55411,51463,51347,51364,48150,47433
3C-E-4,44687,40925,40753,40690,38834,38694
3C-E-5,85759,79804,79570,79568,75541,74647
3G-A-1,67457,64892,64649,64741,64168,62168
3G-A-2,72558,69883,69806,69813,69453,67845
3G-A-3,67572,64551,64489,64501,64278,62780
3G-A-4,112486,107981,107908,107901,107465,104426
3G-A-5,85217,79429,79273,79264,78760,77310
3G-A-6,57735,54568,54417,54411,54138,52724
3G-A-7,71701,68424,68395,68300,68181,67343
3G-B-1,105004,99835,99754,99716,98926,96130
3G-B-2,522,417,395,386,358,358
3G-B-3,97454,94185,93970,94113,93551,90438
3G-B-4,63994,60902,60828,60835,60550,58829
3G-B-5,59076,53861,53790,53671,53150,52495
3G-B-6,2878,2609,2518,2498,2397,2357
3G-C-1,433,338,311,286,242,242
3G-C-2,73020,69695,69633,69626,69289,66900
3G-C-3,90247,86857,86778,86765,86274,83436
3G-C-4,51782,49682,49638,49562,49389,48105
3G-C-5,89651,85037,84912,84900,84516,83114
