Sample_Name,Substrate,Frequency,Substrate_Frequency,Replicate,Time,Run
7C_D_5,Cellulose,7,7C,D,5,run2
7C_D_6,Cellulose,7,7C,D,6,run2
7C_D_7,Cellulose,7,7C,D,7,run2
7C_E_2,Cellulose,7,7C,E,2,run2
7C_E_3,Cellulose,7,7C,E,3,run2
7C_E_4,Cellulose,7,7C,E,4,run2
7C_E_5,Cellulose,7,7C,E,5,run2
7C_E_6,Cellulose,7,7C,E,6,run2
7C_E_7,Cellulose,7,7C,E,7,run2
7G_A_3,Glucose,7,7G,A,3,run2
7G_A_4,Glucose,7,7G,A,4,run2
7G_A_5,Glucose,7,7G,A,5,run2
7G_A_6,Glucose,7,7G,A,6,run2
7G_A_7,Glucose,7,7G,A,7,run2
7G_B_3,Glucose,7,7G,B,3,run2
7G_B_4,Glucose,7,7G,B,4,run2
7G_B_5,Glucose,7,7G,B,5,run2
7G_B_6,Glucose,7,7G,B,6,run2
7G_B_7,Glucose,7,7G,B,7,run2
7G_C_3,Glucose,7,7G,C,3,run2
7G_C_4,Glucose,7,7G,C,4,run2
7G_C_5,Glucose,7,7G,C,5,run2
7G_C_6,Glucose,7,7G,C,6,run2
7G_C_7,Glucose,7,7G,C,7,run2
7G_D_3,Glucose,7,7G,D,3,run2
7G_D_4,Glucose,7,7G,D,4,run2
7G_D_5,Glucose,7,7G,D,5,run2
7G_D_6,Glucose,7,7G,D,6,run2
7G_D_7,Glucose,7,7G,D,7,run2
7G_E_3,Glucose,7,7G,E,3,run2
7G_E_4,Glucose,7,7G,E,4,run2
7G_E_5,Glucose,7,7G,E,5,run2
7G_E_6,Glucose,7,7G,E,6,run2
7G_E_7,Glucose,7,7G,E,7,run2
negative_1,e,n,ne,e,1,run2
negative_2,e,n,ne,e,2,run2
negative_3,e,n,ne,e,3,run2
negative_4,e,n,ne,e,4,run2
