"Sample_Name","Hill0","Hill1","Hill2","Substrate","Frequency","Substrate_Frequency","Replicate","Time","Run"
"2C_D_6",28,4.90463904483263,3.21548856378356,"Cellulose",2,"2C","D",6,"run2"
"2C_D_7",29,5.32807153010398,3.76500492128328,"Cellulose",2,"2C","D",7,"run2"
"2C_E_1",17,4.54067178512691,2.88510419082144,"Cellulose",2,"2C","E",1,"run1"
"2C_E_2",14,3.41526042076655,2.52977968570902,"Cellulose",2,"2C","E",2,"run1"
"2C_E_3",35,2.92883274763392,2.14302214905879,"Cellulose",2,"2C","E",3,"run2"
"2C_E_6",27,3.55585092327533,2.25835060900302,"Cellulose",2,"2C","E",6,"run2"
"2C_E_7",23,3.25242344413891,2.01164175155764,"Cellulose",2,"2C","E",7,"run2"
"2G_A_1",11,1.99628564657373,1.62715847330267,"Glucose",2,"2G","A",1,"run1"
"2G_A_2",14,3.02492698760939,2.08273931038027,"Glucose",2,"2G","A",2,"run1"
"2G_A_3",20,1.9855159346412,1.51575598127043,"Glucose",2,"2G","A",3,"run2"
"2G_A_4",24,2.42874655453824,1.85915658536238,"Glucose",2,"2G","A",4,"run2"
"2G_A_6",28,2.23849361809387,1.69618218103789,"Glucose",2,"2G","A",6,"run2"
"2G_A_7",28,2.15583707509902,1.56403436725444,"Glucose",2,"2G","A",7,"run2"
"2G_B_1",12,2.36340317518477,1.9285819424511,"Glucose",2,"2G","B",1,"run1"
"2G_B_3",19,2.03748470455818,1.5743943334508,"Glucose",2,"2G","B",3,"run2"
"2G_B_4",23,2.4623311707891,1.78746702910088,"Glucose",2,"2G","B",4,"run2"
"2G_B_6",28,2.20965805268735,1.70015261770397,"Glucose",2,"2G","B",6,"run2"
"2G_B_7",25,2.37301225312539,1.78242473278741,"Glucose",2,"2G","B",7,"run2"
"2G_C_2",19,2.13871739706034,1.69614375033115,"Glucose",2,"2G","C",2,"run2"
"2G_C_3",19,1.94114035071582,1.53275797109826,"Glucose",2,"2G","C",3,"run2"
"2G_C_4",19,2.16915234835665,1.69600272150287,"Glucose",2,"2G","C",4,"run2"
"2G_C_6",25,2.49885833505043,1.83387407421035,"Glucose",2,"2G","C",6,"run2"
"2G_C_7",30,2.1472173955217,1.58994988967484,"Glucose",2,"2G","C",7,"run2"
"2G_D_2",18,2.11367860797094,1.73925220595764,"Glucose",2,"2G","D",2,"run2"
"2G_D_3",17,2.24293278049211,1.95184576011798,"Glucose",2,"2G","D",3,"run2"
"2G_D_4",19,2.31879867599105,2.00236346693404,"Glucose",2,"2G","D",4,"run2"
"2G_D_5",26,2.66784154072301,2.01958973515098,"Glucose",2,"2G","D",5,"run2"
