"Sample_Name","Substrate","Frequency","Substrate_Frequency","Replicate","Time","Run","Richness","Shannon","InverseSimpson","Pielou"
"7C_D_2","Cellulose","7","7C","D",2,"run2",37,1.45073671555768,2.90595977436814,0.11530422635521
"7C_D_3","Cellulose","7","7C","D",3,"run2",50,1.29177685866357,2.51847651595639,0.0727849448436159
"7C_D_4","Cellulose","7","7C","D",4,"run2",26,1.24933300226344,2.62415480473326,0.134154449339966
"7C_D_5","Cellulose","7","7C","D",5,"run2",27,1.25211090493484,2.43478510025303,0.129545130424203
"7C_D_6","Cellulose","7","7C","D",6,"run2",25,1.1671363443169,2.46117792927637,0.128511166376419
"7C_D_7","Cellulose","7","7C","D",7,"run2",27,1.43193942011419,2.57276996720276,0.155067085520225
"7C_E_1","Cellulose","7","7C","E",1,"run1",10,1.3256094126854,2.82745565449064,0.376447877722938
"7C_E_2","Cellulose","7","7C","E",2,"run2",28,1.46178102943451,2.96107451307578,0.154058407230673
"7C_E_3","Cellulose","7","7C","E",3,"run2",28,1.23246180357998,2.56907917201645,0.122487939537993
"7C_E_5","Cellulose","7","7C","E",5,"run2",24,1.11291734381285,2.39308954715828,0.126800982760097
"7C_E_6","Cellulose","7","7C","E",6,"run2",24,1.02072792961105,2.28227017296725,0.115633924560868
"7C_E_7","Cellulose","7","7C","E",7,"run2",27,1.17733573722002,2.27436649176048,0.120211675364219
"7G_A_1","Glucose","7","7G","A",1,"run1",4,0.614596755879943,1.65945061908439,0.462227721693171
"7G_A_2","Glucose","7","7G","A",2,"run1",7,0.637732525609105,1.63824618737797,0.270312218445277
"7G_A_3","Glucose","7","7G","A",3,"run2",13,0.542060720857392,1.45390805371169,0.132272824568715
"7G_A_4","Glucose","7","7G","A",4,"run2",12,0.709015468077782,1.75965070146493,0.169332476231391
"7G_A_5","Glucose","7","7G","A",5,"run2",12,0.532849913035695,1.43550695359502,0.141981751989857
"7G_A_6","Glucose","7","7G","A",6,"run2",9,0.663738299245925,1.66188823759823,0.215782078137266
"7G_A_7","Glucose","7","7G","A",7,"run2",9,0.717811913202574,1.78122936773776,0.22777142743376
"7G_B_1","Glucose","7","7G","B",1,"run1",5,0.516822061788381,1.42419720828063,0.335338150882242
"7G_B_2","Glucose","7","7G","B",2,"run1",5,0.743707068516652,2.00312776180836,0.420743942082491
"7G_B_3","Glucose","7","7G","B",3,"run2",9,0.585596009680686,1.53623317976239,0.199562348502506
"7G_B_4","Glucose","7","7G","B",4,"run2",15,0.630148771864197,1.58285457906057,0.125192662378008
"7G_B_5","Glucose","7","7G","B",5,"run2",14,0.608372867089411,1.54918050224789,0.131245657663556
"7G_B_6","Glucose","7","7G","B",6,"run2",9,0.641485428493721,1.63491240471422,0.211033339929743
"7G_B_7","Glucose","7","7G","B",7,"run2",9,0.649058006878085,1.6695433932504,0.212637472482222
"7G_C_2","Glucose","7","7G","C",2,"run1",3,0.608014017972857,1.68338822266793,0.612259987381793
"7G_C_3","Glucose","7","7G","C",3,"run2",15,0.58103298745229,1.51378811056384,0.119192289284958
"7G_C_4","Glucose","7","7G","C",4,"run2",13,0.617811489863675,1.58555157503772,0.142681862113648
"7G_C_5","Glucose","7","7G","C",5,"run2",15,0.698291634060358,1.72522140291996,0.134021027856294
"7G_C_6","Glucose","7","7G","C",6,"run2",10,0.617157715417519,1.59762618465746,0.185365194097509
"7G_C_7","Glucose","7","7G","C",7,"run2",9,0.670529968066871,1.72935702304974,0.21725258649989
"7G_D_2","Glucose","7","7G","D",2,"run1",6,0.786045115737877,2.06361514005245,0.365783242915802
"7G_D_3","Glucose","7","7G","D",3,"run2",14,0.601532023158548,1.53641429434819,0.130350890573262
"7G_D_4","Glucose","7","7G","D",4,"run2",15,0.70599965270646,1.69807882300547,0.135058056019735
"7G_D_5","Glucose","7","7G","D",5,"run2",10,0.490048974315193,1.36640297237486,0.1632396163482
"7G_D_6","Glucose","7","7G","D",6,"run2",10,0.509598153905135,1.39405156359419,0.166462213862022
"7G_D_7","Glucose","7","7G","D",7,"run2",11,0.733146264007523,1.82106209716777,0.189238149133671
"7G_E_1","Glucose","7","7G","E",1,"run1",3,0.72116931053855,2.01411210534083,0.685612295365161
"7G_E_2","Glucose","7","7G","E",2,"run1",4,0.592793339361994,1.61945051197685,0.452258652958889
"7G_E_3","Glucose","7","7G","E",3,"run2",11,0.499895326868335,1.39423469717023,0.149868063901204
"7G_E_4","Glucose","7","7G","E",4,"run2",12,0.617534867452405,1.58310740841592,0.154529265119024
"7G_E_5","Glucose","7","7G","E",5,"run2",12,0.581680469576798,1.52343181502527,0.149086861439649
"7G_E_6","Glucose","7","7G","E",6,"run2",9,0.709675588521161,1.77400751047281,0.225925723950499
"7G_E_7","Glucose","7","7G","E",7,"run2",10,0.661619491627664,1.70712228394081,0.193792825300043
