,1C_A_1,1C_A_2,1C_A_3,1C_A_4,1C_A_5,1C_A_6,1C_A_7,1C_B_1,1C_B_2,1C_B_3,1C_B_4,1C_B_5,1C_B_6,1C_B_7,1C_C_1,1C_C_2,1C_C_3,1C_C_4,1C_C_5,1C_C_6,1C_C_7,1C_D_1,1C_D_2,1C_D_3,1C_D_4,1C_D_5,1C_D_6,1C_D_7,1C_E_1,1C_E_2,1C_E_3,1C_E_4,1C_E_5,1C_E_6,1C_E_7,1G_A_1,1G_A_2,1G_A_3,1G_A_4,1G_A_5,1G_A_6,1G_B_1,1G_B_2,1G_B_3,1G_B_4,1G_B_5,1G_B_6,1G_B_7,1G_C_1,1G_C_2,1G_C_3,1G_C_4,1G_C_5,1G_C_7,1G_D_1,1G_D_2,1G_D_3,1G_D_4,1G_D_5,1G_D_6,1G_D_7,1G_E_1,1G_E_2,1G_E_3,1G_E_4,1G_E_5,1G_E_6,1G_E_7,2C_A_1,2C_A_2,2C_A_3,2C_B_1,2C_B_2,2C_B_3,2C_C_1,2C_C_2,2C_C_3,2C_D_1,2C_D_2,2C_D_3,2C_E_1,2C_E_2,2G_A_1,2G_A_2,2G_B_1,2G_B_2,2G_C_1,2G_D_1,2G_E_1,2G_E_3,3C_A_7,3C_B_7,3C_C_7,3C_D_7,3C_E_6,3C_E_7,3G_B_7,3G_C_7,3G_D_7,3G_E_7,5C_A_1,5C_A_2,5C_A_3,5C_A_4,5C_A_5,5C_A_6,5C_A_7,5C_B_1,5C_B_2,5C_B_3,5C_B_4,5C_B_5,5C_B_6,5C_B_7,5C_C_1,5C_C_2,5C_C_3,5C_C_4,5C_C_5,5C_C_6,5C_C_7,5C_D_1,5C_D_2,5C_D_3,5C_D_4,5C_D_5,5C_D_6,5C_D_7,5C_E_1,5C_E_2,5C_E_3,5C_E_4,5C_E_5,5C_E_6,5C_E_7,5G_A_1,5G_A_2,5G_A_3,5G_A_4,5G_A_5,5G_A_6,5G_A_7,5G_B_1,5G_B_2,5G_B_3,5G_B_4,5G_B_5,5G_B_6,5G_B_7,5G_C_1,5G_C_2,5G_C_3,5G_C_4,5G_C_5,5G_C_6,5G_C_7,5G_D_1,5G_D_2,5G_D_3,5G_D_4,5G_D_5,5G_D_6,5G_D_7,5G_E_1,5G_E_2,5G_E_3,5G_E_4,5G_E_5,5G_E_6,5G_E_7,7C_A_1,7C_A_2,7C_B_1,7C_C_1,7C_D_1,7C_E_1,7G_A_1,7G_A_2,7G_B_1,7G_B_2,7G_C_2,7G_D_2,7G_E_1,7G_E_2,innoc_1,innoc_2,innoc_3,negative1,negative2,negative3,negative4
ASV_11,148,146,0,0,123,62,22,135,109,0,72,59,0,58,118,215,0,102,0,84,46,84,126,40,34,60,46,0,77,54,63,109,67,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,68,50,93,0,56,149,59,75,440,79,0,0,0,0,0,0,0,0,24,18,27,16,33,33,0,0,0,0,38,53,5,26,22,13,20,16,39,46,12,19,0,52,23,30,37,176,80,21,46,0,56,36,32,70,0,36,11,33,37,56,93,6,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,28,39,51,36,24,0,0,0,0,0,0,0,0,255,168,138,0,0,0,0
ASV_12,57,48,0,0,71,16,14,62,74,0,23,42,0,12,54,72,0,18,0,18,17,28,85,20,24,47,13,0,48,37,38,47,35,24,0,0,16,0,16,3,60,0,33,5,32,65,95,29,0,0,0,61,43,62,83,45,0,80,0,50,93,66,50,0,20,86,199,0,0,142,0,0,19,3,0,0,0,0,6,0,12,6,24,61,4,0,0,0,0,13,10,9,14,12,4,18,37,22,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,5,16,17,35,11,11,8,7,9,23,14,32,12,5,0,9,20,32,21,8,12,6,7,9,7,37,18,27,12,13,30,6,19,0,0,0,0,0,0,4,14,13,5,0,32,14,6,506,455,496,0,0,0,0
ASV_13,32,35,0,0,9,26,4,38,28,0,0,13,0,23,20,62,0,18,0,28,14,31,61,8,0,9,23,0,30,22,44,19,14,41,0,0,0,0,0,0,13,0,0,0,0,0,19,15,0,0,0,0,0,0,10,0,0,11,0,16,13,0,0,0,0,0,73,0,0,144,0,0,10,0,9,0,13,0,0,0,17,3,36,80,13,0,0,0,0,0,104,76,107,31,79,149,0,0,0,0,133,101,13,55,57,0,79,48,94,97,14,63,0,201,50,50,97,198,182,0,76,0,16,15,18,26,0,7,59,97,68,86,195,11,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,49,115,158,126,85,0,0,0,0,0,0,0,0,16,11,15,0,0,0,0
ASV_14,243,148,0,0,150,33,31,256,196,0,35,92,0,38,212,197,0,63,0,43,35,151,228,55,48,100,19,0,196,82,143,126,86,48,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,13,0,0,158,0,0,76,17,99,0,36,210,82,27,232,48,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,7,13,0,0,3,0,0,0,3,9,3,6,0,0,0,0,7,12,6,0,5,5,6,0,0,0,0,0,10,7,5,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
ASV_15,193,134,0,0,102,91,18,158,148,0,66,49,0,163,116,194,0,54,0,142,0,75,145,35,41,60,102,0,102,66,317,289,266,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,110,0,0,68,37,58,0,51,140,106,71,37,16,0,9,0,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,0,30,0,0,0,7,16,0,0,11,0,0,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,8,0,0,0,108,65,0,0,0,12,11,30,47,25,0,12,0,40,34,13,15,0,10,27,267,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,5,18,20,0,0,0,0,14,9,6,11,24,8,13,3,16,35,8,29,6,0,6,13,23,58,14,7,15,5,19,20,14,43,8,18,11,18,11,22,30,13,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,11,4,13,4,0,0,0,0,0,0,0,0,515,457,525,0,0,0,0
ASV_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,74,65,97,58,77,72,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,18,0,0,0,66,42,0,22,0,0,0,0,7,0,10,17,5,0,0,58,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,3,25,20,17,0,0,0,0,0,0,0,0,767,573,587,0,0,0,0
ASV_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,173,299,181,287,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,37,51,0,11,0,34,34,78,55,0,0,0,84,66,82,16,26,0,19,0,78,56,10,28,0,8,60,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,83,17,0,0,0,0,71,22,27,25,0,29,0,13,5,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_20,13,9,0,0,26,0,0,28,13,0,0,19,0,13,15,16,0,5,0,0,0,13,25,0,14,20,15,0,11,13,0,0,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,13,4,0,0,8,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,272,305,0,0,0,0
