"","Pseudomonas.1","Cellvibrio","Pseudomonas.2","Lacunisphaera","Asticcacaulis","Cohnella","Taibaiella","Xylophilus","Leadbetterella","Shinella","Stenotrophomonas","Pleomorphomonas","Bordetella","Nubsella","Achromobacter","Azonexus","Martelella","Youhaiella","Bosea","Pseudaminobacter","Methylophilus","Pseudomonas","Kaistia","Dysgonomonas","Neorhizobium","Devosia","Rhodopseudomonas","Mesorhizobium","Afipia","Microbacterium","Dokdonella","Pigmentiphaga","Christensenellaceae R-7 group","Pusillimonas","Parapedobacter","Kurthia","Terrimonas","Sphingopyxis","Ellin6055","Phenylobacterium","Flavobacterium","Succinivibrionaceae UCG-001","Rummeliibacillus","Kosakonia","Enterococcus","Herbaspirillum","Succinivibrionaceae UCG-002","Prevotella","Eoetvoesia","Fibrobacter","Solibacillus","Cellulomonas","Succiniclasticum","Rikenellaceae RC9 gut group","Klebsiella","Acinetobacter","Peptoclostridium","Weissella","Bacillus","Sporosarcina","Sphingobacterium","Saccharofermentans","Rhodococcus","Prevotella_7","Pseudobutyrivibrio","Orrella","Oligotropha","Aerococcus","Alcaligenes","Lactococcus","Caryophanon","Nocardioides","Sphingomonas","Chishuiella","Staphylococcus","Brachybacterium","probable genus 10","Butyrivibrio","Prevotellaceae YAB2003 group","Oceanobacillus","Lachnospiraceae UCG-006","Providencia","NK4A214 group","Moheibacter","Prevotella_9","Thermomonas","Ruminobacter","Nocardiopsis","Lachnospiraceae NK3A20 group","Prevotellaceae UCG-003","Lachnospiraceae XPB1014 group","Methanobrevibacter","Anaerovorax","[Eubacterium] ruminantium group","CPla-4 termite group","SP3-e08","Trabulsiella","Flexilinea","Brevundimonas","Luteimonas","Prevotellaceae UCG-001","Streptomyces","Sharpea","Megasphaera","[Eubacterium] ventriosum group","Faecalibacterium","Plot4-2H12","Lysobacter","Clostridium sensu stricto 1","Raoultibacter","UCG-004","Candidatus Methanomethylophilus","Porphyromonas","Cloacibacterium","Desulfovibrio","Acetitomaculum","Anaeroplasma","Oscillibacter","Treponema","Lachnospiraceae AC2044 group","Lachnospiraceae ND3007 group","UCG-001","Lachnospiraceae UCG-009","Mogibacterium","UCG-002","Oribacterium","Succinimonas","Allobaculum","Advenella","Coprococcus","Paenibacillus","Prevotellaceae NK3B31 group","[Eubacterium] xylanophilum group","Pajaroellobacter","Vulgatibacter","Enterorhabdus","Sutterella","Syntrophococcus","Blautia","Lachnospiraceae UCG-001","Erysipelotrichaceae UCG-009","UCG-005","Prevotellaceae Ga6A1 group","Acholeplasma","Papillibacter","Ruminococcus","Psychrobacter","Candidatus Udaeobacter","Synergistes","Atlantibacter","Acidothermus","Elusimicrobium","Mailhella","[Anaerorhabdus] furcosa group","Tyzzerella","Shuttleworthia","[Ruminococcus] gauvreauii group","Termite Treponema cluster","Endomicrobium","Candidatus Saccharimonas","Lachnospira","Prevotellaceae UCG-004"
"2C_D_4",0.0249536787998326,0.62146614069691,0.0112814535891459,8.9653935807782e-05,0.299324607016915,0.00168848245771323,0,0,0.0143296874066105,0.00502062040523579,0.000403442711135019,0,0.0029585798816568,0,0.00866654712808559,0,0.00378040762656147,0.00204709820094435,0,0,0.00168848245771323,0,0.000224134839519455,0,0,0.000298846452692607,0.000702289163827625,0.000268961807423346,0,0,0,0.00047815432430817,0,0,0,0,0,0,0,0,5.97692905385213e-05,0,0,0,0,0,0,7.47116131731516e-05,0,0,0,0,0,0,0,2.98846452692607e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98846452692607e-05,0,0,0,0,0,4.4826967903891e-05,0,0,0,0,5.97692905385213e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2C_D_5",0.672748347860121,0.0543286817504403,0.207334146231315,0.000316126992729079,0.023468665793554,0.00495265621942224,0.00820424814463563,0.000888166312905508,0.00180643995845188,0.00114407864035286,0.00266449893871652,0.000331180659049512,0.0114859474024899,0.00272471360399825,0.0025591232744735,0,0.000180643995845188,0.000210751328486053,0.000722575983380752,0.00121934697195502,0.000120429330563459,0.000993541977148535,0.000270965993767782,0.000316126992729079,0,0,0.000165590329524756,0,0,0.000376341658010809,0,0.000180643995845188,0,0,0,0,0,0,0,0,0.000105375664243026,0,0,0,0,0,0,4.5160998961297e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2C_D_6",0.0240143591013183,0.490824410472241,0.0977440118833942,0.00023209754286068,0.233660332982608,0.0499164448845702,0,0,0.0437426502444761,0.0165098718821563,0.00656062387819521,0.0107074333106394,0.00114501454477935,0,0.00816983350869592,0,0.00575601906294485,0.00335767778671783,0,0.000464195085721359,0.00134616574859194,0,0.000510614594293495,0,0.000881970662870582,0.00137711208764003,0.000928390171442718,0,0.000324936560004951,0,0,0.000649873120009903,9.28390171442718e-05,0,0,4.64195085721359e-05,0,0.000170204864764498,9.28390171442718e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64195085721359e-05,7.73658476202265e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2C_D_7",0.0255645836986809,0.420743944973792,0.160850334171197,0.000818378441573625,0.2374271740613,0.0509732857894429,9.7426004949241e-05,0,0.0473100680033515,0.013347362678046,0.00756025798406111,0.0142241967225892,0.00128602326532998,0,0.00613783831180219,0,0.00450108142865494,0.00315660256035541,0,0,0.00151984567720816,0,0.000409189220786812,0,0,0.00120808246137059,0.000662496833654839,0.00021433721088833,0.000487130024746205,0,0,0.000448159622766509,3.89704019796964e-05,0,0,0,0,5.84556029695446e-05,9.7426004949241e-05,0,0,0,0,0,0,0,0,3.89704019796964e-05,0,0,0,0,7.79408039593928e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89704019796964e-05,0,0,0,0,0,7.79408039593928e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2C_E_3",0.00961526728734763,0.609825143679914,0.0161800056129733,0.00045147828633485,0.30617549083011,0.00574719656388418,0.000158627506009542,0.00276988029724354,0.0135565507058924,0.0145937305528779,0.00111039254206679,8.5414810928215e-05,0.00218417873659293,0,0.00538113308847754,0,0.00179371102949251,0.00276988029724354,0,0,0.00359962417483192,0,0.000158627506009542,0,0.000707722719119495,0.000549095213109953,0.000732126950813271,0.000256244432784645,0,0,0,0.000390467707100411,6.10105792344392e-05,0,0,0.000231840201090869,0,7.32126950813271e-05,0,0,0.000219638085243981,0,0,9.76169267751028e-05,0,0,0,0,0,0,0,0,3.66063475406636e-05,0,0,0,0.000122021158468878,0,0,0,2.44042316937757e-05,0,0,0,0,0,0,8.5414810928215e-05,0,0,0,4.88084633875514e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44042316937757e-05,0,0,0,0,0,0,0,0,0,0,2.44042316937757e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2C_E_5",0.761421128853279,0.0503676954616412,0.112189433692565,0.000206887472023171,0.0247700727867742,0.00569880945663827,0.0140495401455735,0.00517218680057928,0.00306569617634336,0.00165509977618537,0.00453271643250766,0.000206887472023171,0.00827549888092686,0.00188079520021065,0,0,0,0.000507814704056875,0.000413774944046343,0.00229457014425699,0.000526622656058982,0.000865165792096899,0.000225695424025278,0.000827549888092686,0,0,0,0,0,0.000300927232033704,0,0,0,0,0,0,0,0,0,0,7.5231808008426e-05,0,0.000112847712012639,7.5231808008426e-05,0.000112847712012639,0,0,0,0,0,0,0,5.64238560063195e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7615904004213e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2C_E_6",0.00368579699764228,0.63883666099621,0.0675978153818605,0.00013430029546065,0.157937147461724,0.0526755603306772,0,0.0192646312710777,0.0342913421076193,0.0105948010863402,0.00253678335870117,0.00299937326528785,0.0005372011818426,0,0.00211896021726803,0,0.000567045691944967,0.00177574835109082,0,0.000119378040409467,0.0012534694242994,0,0.000149222550511833,0,0,0.00141761422986242,0.000253678335870117,0,0,0,0,0.0001790670606142,2.98445101023667e-05,0,0,0,0,7.46112752559167e-05,0,0,0,0,0,0,0,0,0,0,0,4.476676515355e-05,0,0,2.98445101023667e-05,4.476676515355e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96890202047333e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2C_E_7",0.00408045873703511,0.688554942388237,0.0687925796767989,0,0.112886699861588,0.0464668979525804,0,0.0170228829249879,0.0336503028886772,0.012061620319606,0.00336143517103773,0.00546457910158005,0,0,0.00133019359709514,0,0.000377487372148622,0.00165375420179396,0,0,0.000701047976847441,0,0.000125829124049541,0,0,0.000844852690046916,0.000305585015548885,0.000125829124049541,0,0,0,7.19023565997376e-05,0,0,0,0,0,0.000107853534899606,5.39267674498032e-05,0,0,0,0,0,0,0,0,0.000143804713199475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.19023565997376e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2G_A_3",0.794219398233016,0,0.169641503452648,0.000165396330958058,0.00487919176326272,0.00111642523396689,0.00766336333439003,0.00391437983267405,0,0,0.00299091698482489,0.00030322660675644,0.00724987250699489,0.00212258624729508,0,0,0.000137830275798382,0.00015161330337822,0.000702934406571748,0.00268769037806845,0.000179179358537896,0.00045483991013466,0.000289443579176602,0.000840764682370129,0,0,0,0,0,0.000289443579176602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2G_A_4",0.683912931002624,0.000461953508998854,0.263516759673306,0,0.00853690084629883,0.00208802986067482,0.00896189807457777,0.00450866624782882,0.00022173768431945,0.00022173768431945,0.00535866070438671,0.000388040947559038,0.0103477586015743,0.00251302708895377,0.000388040947559038,0,0.000129346982519679,0,0.00142281680771647,0.00430540670386932,0.000240215824679404,0.000184781403599542,0.000369562807199083,0.00101629771979748,0,0,0,0,0,0.000369562807199083,0,0.000110868842159725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.23907017997709e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
