"","Pseudomonas.1","Asticcacaulis","Cellvibrio","Pseudomonas.2","Cohnella","Lacunisphaera","Taibaiella","Achromobacter","Leadbetterella","Bordetella","Shinella","Stenotrophomonas","Xylophilus","Methylophilus","Pleomorphomonas","Nubsella","Devosia","Bosea","Parapedobacter","Youhaiella","Dysgonomonas","Rhodopseudomonas","Azonexus","Pigmentiphaga","Pseudaminobacter","Kaistia","Neorhizobium","Dokdonella","Sphingopyxis","Afipia","Cellulomonas","Herbaspirillum","Mesorhizobium","Phenylobacterium","Microbacterium","Kurthia","Flavobacterium","Candidatus Megaira","Pusillimonas","Saccharofermentans","Nocardioides","Megasphaera","Sporosarcina","Terrisporobacter","Anaerovorax","Terrimonas","Ellin6055","Fibrobacter","Christensenellaceae R-7 group","NK4A214 group","Chishuiella","Acinetobacter","Lachnospiraceae XPB1014 group","Lachnospiraceae UCG-008","Succiniclasticum","Rikenellaceae RC9 gut group","Enterococcus","Succinivibrionaceae UCG-001","Latilactobacillus","Rhodococcus","Martelella","Pseudomonas","Rummeliibacillus","Kosakonia","Succinivibrionaceae UCG-002","Prevotella","Eoetvoesia","Solibacillus","Klebsiella","Peptoclostridium","Weissella","Bacillus","Sphingobacterium","Prevotella_7","Pseudobutyrivibrio","Orrella","Oligotropha","Aerococcus","Alcaligenes","Lactococcus","Caryophanon","Sphingomonas","Staphylococcus","Brachybacterium","probable genus 10","Butyrivibrio","Prevotellaceae YAB2003 group","Oceanobacillus","Lachnospiraceae UCG-006","Providencia","Moheibacter","Prevotella_9","Thermomonas","Ruminobacter","Nocardiopsis","Lachnospiraceae NK3A20 group","Prevotellaceae UCG-003","Methanobrevibacter","[Eubacterium] ruminantium group","CPla-4 termite group","SP3-e08","Trabulsiella","Flexilinea","Brevundimonas","Luteimonas","Prevotellaceae UCG-001","Streptomyces","Sharpea","[Eubacterium] ventriosum group","Faecalibacterium","Plot4-2H12","Lysobacter","Clostridium sensu stricto 1","Raoultibacter","UCG-004","Candidatus Methanomethylophilus","Porphyromonas","Cloacibacterium","Desulfovibrio","Acetitomaculum","Anaeroplasma","Oscillibacter","Treponema","Lachnospiraceae AC2044 group","Lachnospiraceae ND3007 group","UCG-001","Lachnospiraceae UCG-009","Mogibacterium","UCG-002","Oribacterium","Succinimonas","Allobaculum","Advenella","Coprococcus","Paenibacillus","Prevotellaceae NK3B31 group","[Eubacterium] xylanophilum group","Pajaroellobacter","Vulgatibacter","Enterorhabdus","Sutterella","Syntrophococcus","Blautia","Lachnospiraceae UCG-001","Erysipelotrichaceae UCG-009","UCG-005","Prevotellaceae Ga6A1 group","Acholeplasma","Papillibacter","Ruminococcus","Psychrobacter","Candidatus Udaeobacter","Synergistes","Atlantibacter","Acidothermus","Elusimicrobium","Mailhella","[Anaerorhabdus] furcosa group","Tyzzerella","Shuttleworthia","[Ruminococcus] gauvreauii group","Termite Treponema cluster","Endomicrobium","Candidatus Saccharimonas","Lachnospira","Prevotellaceae UCG-004"
"7G_A_3",0.809029930669072,0.00045093286736937,0.00171918155684572,0.181838678766699,0,0.000704582605264641,0.000253649737895271,0.000704582605264641,0,0,0,0.00143734851473987,0,0,0,0,0,0.000535482780001127,0,0,0,0,0,0,0.000620032692632884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63666084211713e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00242376416211037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.45499126317569e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7G_A_4",0.697377847829202,0.000687777618569996,0.00286574007737498,0.286201461527439,0.000372546210058748,0.000974351626307494,0,0.000888379423986244,0,0,0,0.00232124946267374,0,0,0,0,0,0.00234990686344749,0,0,0,0,0,0,0.000716435019343746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00504370253617997,0,0,0,0.000200601805416249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7G_A_5",0.816380007247791,0.000306637303821816,0.00111504474117024,0.173528837844619,0,0.000501770133526608,0,0.000515708192791236,0,0,0,0.00143562010425668,0,0,0,0,0,0.000404203718674212,0,0,0,0,0,0,0.000529646252055864,0.000111504474117024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00500376327600145,0,0,0,0.000167256711175536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7G_A_6",0.734657172221407,0,0.000935985905153428,0.248531786815446,0,0.000330347966524739,0,0.000715753927470269,0,0,0,0.00234914109528704,0,0,0,0,0,0.00187197181030686,0,0,0,0,0,0,0.000899280575539568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00959844369402437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7G_A_7",0.690413931234005,0,0.000417269389117614,0.290948036052075,0,0.000222543674196061,0,0.00116835428952932,0,0,0,0.0062034049182152,0,0,0,0,0,0.00403360409480361,0,0,0,0,0,0,0.0010849004117058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00550795593635251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7G_B_3",0.778560732845944,0.000748700783933762,0.00378754514225315,0.211574033295164,0,0.0015854840130362,0,0.000792742006518101,0,0,0,0.00198185501629525,0,0,0,0,0,0.000572535893596406,0,0,0,0,0,0,0.00039637100325905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7G_B_4",0.762932677315408,0.000623679013201206,0.0041232112539413,0.222861300717231,0.000415786008800804,0.000658327847267939,0.000242541838467136,0.000589030179134472,0,0,0,0.00145525103080281,0,0.000207893004400402,0,0,0,0.000623679013201206,0,0,0,0,0,0,0.00135130452860261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000138595336266935,0,0,0,0,0,0,0.0037074252451405,0,0,0,6.92976681334673e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7G_B_5",0.775145518044237,0.000291036088474971,0.0022894838960031,0.211078773767947,0.00013581684128832,0.000310438494373302,0,0.000756693830034924,5.82072176949942e-05,0,0,0.0019790454016298,0,0,0,0,0,0.000310438494373302,0,0,0,0,0,0,0.00145518044237485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000155219247186651,0,0,0,0.00595653861078774,0,0,0,3.88048117966628e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7G_B_6",0.742954227463522,0,0.00128494331972245,0.244196339339254,0,0,0,0.000828074583821136,0,0,0,0.00345506981525371,0,0,0,0,0,0.00062819451186431,0,0,0,0,0,0,0.00165614916764227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000171325775962994,0,0,0,0.00482567602295765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7G_B_7",0.729131618180077,5.47098327246864e-05,0.000259871705442261,0.259324607115014,0,0,0,0.000943744614500841,0,0,0,0.00408955999617031,0,0,0,0,0,0.00076593765814561,0,0,0,0,0,0,0.00168232735628411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00370659116709751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
