"Sample_Name","Substrate","Frequency","Substrate_Frequency","Replicate","Time","Run","Richness","Shannon","InverseSimpson","Pielou","Count"
"1C_A_1","Cellulose","1","1C","A",1,"run1",3.74165738677394,0.98131829354444,1.63411487261077,0.190569363834768,14
"1C_A_2","Cellulose","1","1C","A",2,"run1",4.24264068711929,0.922917825766341,1.55652959519154,0.139812375231655,18
"1C_A_5","Cellulose","1","1C","A",5,"run1",4.35889894354067,0.875896734663285,1.53940742681193,0.126369863862733,19
"1C_A_6","Cellulose","1","1C","A",6,"run1",3.87298334620742,1.13236731768287,2.40398128176358,0.206866238911656,15
"1C_A_7","Cellulose","1","1C","A",7,"run1",3.46410161513775,0.967393762035961,1.95344496315918,0.219256524972225,12
"1C_B_1","Cellulose","1","1C","B",1,"run1",3.74165738677394,0.885818775432098,1.53883422090824,0.173212077426822,14
"1C_B_2","Cellulose","1","1C","B",2,"run1",4.12310562561766,0.918292359366763,1.58692682219168,0.147353475306791,17
"1C_B_4","Cellulose","1","1C","B",4,"run1",3.60555127546399,0.90725079263354,1.5693434993002,0.190577076569837,13
"1C_B_5","Cellulose","1","1C","B",5,"run1",4.12310562561766,0.874401633116909,1.54250909980177,0.141025900929356,17
"1C_B_7","Cellulose","1","1C","B",7,"run1",4.12310562561766,1.18573125406566,2.35170830698552,0.192534082305067,17
"1C_C_1","Cellulose","1","1C","C",1,"run1",4,1.0619574370408,1.72246841214547,0.180751650751067,16
"1C_C_2","Cellulose","1","1C","C",2,"run1",4,0.867527371421801,1.50249335245329,0.148813512511354,16
"1C_C_4","Cellulose","1","1C","C",4,"run1",3.87298334620742,0.872941599643263,1.51167482895431,0.159596168450187,15
"1C_C_6","Cellulose","1","1C","C",6,"run1",4.24264068711929,1.15840626283338,2.42959556996684,0.17693630055311,18
"1C_C_7","Cellulose","1","1C","C",7,"run1",3.60555127546399,1.03830115812491,2.27016311198683,0.217262669411784,13
"1C_D_1","Cellulose","1","1C","D",1,"run1",3.60555127546399,0.84021858458714,1.50290189703874,0.178221027249347,13
"1C_D_2","Cellulose","1","1C","D",2,"run1",4.35889894354067,0.917343700921541,1.57631972946977,0.131717568896569,19
"1C_D_3","Cellulose","1","1C","D",3,"run1",3.46410161513775,0.921722421533428,1.58899454935578,0.209468014173044,12
"1C_D_4","Cellulose","1","1C","D",4,"run1",4.12310562561766,0.864911232103693,1.48407523153229,0.139693839472946,17
"1C_D_5","Cellulose","1","1C","D",5,"run1",4,0.970087972486129,1.68681798425725,0.164886033505909,16
"1C_D_6","Cellulose","1","1C","D",6,"run1",3.74165738677394,1.09381856702142,2.24966147612841,0.213260946406959,14
"1C_E_1","Cellulose","1","1C","E",1,"run1",3.87298334620742,0.972150921112791,1.6197380545854,0.176241638422534,15
"1C_E_2","Cellulose","1","1C","E",2,"run1",3.87298334620742,0.797594465365332,1.4173587879317,0.148012916446807,15
"1C_E_3","Cellulose","1","1C","E",3,"run1",4.12310562561766,1.09619180340175,1.79420242973632,0.176043960308122,17
"1C_E_4","Cellulose","1","1C","E",4,"run1",4.35889894354067,1.25774458268681,1.9793885723235,0.185130481616585,19
"1C_E_5","Cellulose","1","1C","E",5,"run1",4.24264068711929,1.20652794798999,1.93717820852251,0.185658964967727,18
"1C_E_6","Cellulose","1","1C","E",6,"run1",4.12310562561766,1.12725409216151,2.07850777641444,0.181598104273009,17
"1G_A_2","Glucose","1","1G","A",2,"run1",3.16227766016838,1.07416841331585,2.58889370677251,0.292755737027058,10
"1G_A_4","Glucose","1","1G","A",4,"run1",2.82842712474619,1.06144633881955,2.6215216274052,0.361318585015914,8
"1G_A_5","Glucose","1","1G","A",5,"run1",2.64575131106459,1.14854249511349,2.69606670009712,0.450513311567026,7
"1G_A_6","Glucose","1","1G","A",6,"run1",4,1.05236404273986,1.92605551142801,0.179025919938298,16
"1G_B_2","Glucose","1","1G","B",2,"run1",3,1.24201066673788,3.00323835857271,0.38472983796033,9
"1G_B_4","Glucose","1","1G","B",4,"run1",3,1.15798182355103,2.88714731841628,0.353722435543699,9
"1G_B_5","Glucose","1","1G","B",5,"run1",3.46410161513775,1.43443266592675,3.5203770112814,0.349771923568056,12
"1G_B_6","Glucose","1","1G","B",6,"run1",3.74165738677394,1.20246119360952,2.47694550609738,0.237735602664671,14
"1G_B_7","Glucose","1","1G","B",7,"run1",3.60555127546399,1.33899683939764,3.16240734416996,0.293478024027075,13
"1G_C_4","Glucose","1","1G","C",4,"run1",3.16227766016838,1.24419488915952,2.9849153547868,0.347013982716377,10
"1G_C_5","Glucose","1","1G","C",5,"run1",3.46410161513775,1.4073298671122,3.40679731521443,0.340419437261188,12
"1G_C_7","Glucose","1","1G","C",7,"run1",3.60555127546399,1.38234123987603,3.40225294653781,0.306478363708947,13
"1G_D_1","Glucose","1","1G","D",1,"run1",3.3166247903554,1.18218578338149,2.96730874228756,0.296499576339601,11
"1G_D_2","Glucose","1","1G","D",2,"run1",3,1.2256424598865,3.0000343856417,0.378483758404361,9
"1G_D_4","Glucose","1","1G","D",4,"run1",3.3166247903554,1.30437098605004,3.23688754512819,0.335033655927445,11
"1G_D_6","Glucose","1","1G","D",6,"run1",3.74165738677394,1.38763035834899,3.00803447503558,0.28609625430599,14
"1G_D_7","Glucose","1","1G","D",7,"run1",3.46410161513775,1.42245995247185,3.32814178758506,0.345609173982551,12
"1G_E_1","Glucose","1","1G","E",1,"run1",3.16227766016838,1.20355076511986,3.07885467951741,0.33319268327998,10
"1G_E_2","Glucose","1","1G","E",2,"run1",3,1.25124194581637,2.87328062676514,0.388297829690451,9
"1G_E_4","Glucose","1","1G","E",4,"run1",3.16227766016838,1.260878904728,3.12991447934986,0.352852135902521,10
"1G_E_5","Glucose","1","1G","E",5,"run1",3.46410161513775,1.31749395913907,3.00789271600741,0.311170996275868,12
"1G_E_6","Glucose","1","1G","E",6,"run1",4.35889894354067,1.19015677296358,2.15235551630089,0.173031398591695,19
"2C_A_2","Cellulose","2","2C","A",2,"run1",4.47213595499958,1.81770839658803,3.67973244825901,0.307886559561052,20
"2C_A_4","Cellulose","2","2C","A",4,"run2",4.89897948556636,1.17418790827194,2.24485918874659,0.134813097592345,24
"2C_A_6","Cellulose","2","2C","A",6,"run2",5.3851648071345,1.54110856279827,2.77782106998198,0.161026349292255,29
"2C_A_7","Cellulose","2","2C","A",7,"run2",5.8309518948453,1.67698693962605,3.39690690396068,0.157335692890761,34
"2C_B_2","Cellulose","2","2C","B",2,"run1",3.87298334620742,1.28580839749077,2.58512154125421,0.241172748476458,15
"2C_B_3","Cellulose","2","2C","B",3,"run1",3.46410161513775,1.05264523573676,2.28822240906342,0.23876835713554,12
"2C_B_4","Cellulose","2","2C","B",4,"run2",4.69041575982343,0.997192854886261,1.99923829533557,0.123211905318586,22
"2C_B_6","Cellulose","2","2C","B",6,"run2",5.65685424949238,1.59269144388371,3.03690994748794,0.153655152199761,32
"2C_C_1","Cellulose","2","2C","C",1,"run1",3.46410161513775,1.43594102827651,2.49922045493739,0.350299904461716,12
"2C_C_3","Cellulose","2","2C","C",3,"run1",3.74165738677394,1.12580159426116,2.38929137573691,0.220191923066683,14
"2C_C_4","Cellulose","2","2C","C",4,"run2",4.79583152331272,1.05028505582511,2.04486209331003,0.124281122794494,23
"2C_C_6","Cellulose","2","2C","C",6,"run2",5.09901951359279,1.56551589012044,2.91304101342149,0.184043957968855,26
"2C_D_1","Cellulose","2","2C","D",1,"run1",3.60555127546399,1.45618491686818,2.55745443062222,0.329966402406742,13
"2C_D_2","Cellulose","2","2C","D",2,"run1",3.74165738677394,1.44890923634404,2.81080400819891,0.3041762142804,14
"2C_D_3","Cellulose","2","2C","D",3,"run1",3.46410161513775,1.13313846900329,2.42537416494106,0.258782282012226,12
"2C_D_4","Cellulose","2","2C","D",4,"run2",5,1.02268216644749,2.09672851314413,0.111225716721675,25
"2C_D_6","Cellulose","2","2C","D",6,"run2",5.29150262212918,1.59018150108069,3.21548856378356,0.175165680172594,28
"2C_D_7","Cellulose","2","2C","D",7,"run2",5.3851648071345,1.67298935846779,3.76500492128328,0.183726604486344,29
"2C_E_1","Cellulose","2","2C","E",1,"run1",4.12310562561766,1.513074971399,2.88510419082144,0.267098340301583,17
"2C_E_2","Cellulose","2","2C","E",2,"run1",3.74165738677394,1.22825374802641,2.52977968570902,0.243947172911897,14
"2C_E_3","Cellulose","2","2C","E",3,"run2",5.91607978309962,1.0746039640076,2.14302214905879,0.0836809356466835,35
"2C_E_6","Cellulose","2","2C","E",6,"run2",5.19615242270663,1.26859439418439,2.25835060900302,0.131698182343531,27
"2C_E_7","Cellulose","2","2C","E",7,"run2",4.79583152331272,1.17940039358375,2.01164175155764,0.141409714962561,23
"2G_A_1","Glucose","2","2G","A",1,"run1",3.3166247903554,0.691288277155961,1.62715847330267,0.181480513324885,11
"2G_A_2","Glucose","2","2G","A",2,"run1",3.74165738677394,1.10688695486404,2.08273931038027,0.216066213400671,14
"2G_A_3","Glucose","2","2G","A",3,"run2",4.47213595499958,0.68587879706248,1.51575598127043,0.09927579673206,20
"2G_A_4","Glucose","2","2G","A",4,"run2",4.89897948556636,0.88737530309327,1.85915658536238,0.10119777310576,24
"2G_A_6","Glucose","2","2G","A",6,"run2",5.29150262212918,0.805803147720447,1.69618218103789,0.0799462006462096,28
"2G_A_7","Glucose","2","2G","A",7,"run2",5.29150262212918,0.768179082055444,1.56403436725444,0.0769941812535363,28
"2G_B_1","Glucose","2","2G","B",1,"run1",3.46410161513775,0.860102603703625,1.9285819424511,0.19695026459873,12
"2G_B_3","Glucose","2","2G","B",3,"run2",4.35889894354067,0.711716059139391,1.5743943334508,0.107236037082009,19
"2G_B_4","Glucose","2","2G","B",4,"run2",4.79583152331272,0.901108531628112,1.78746702910088,0.10705787699083,23
"2G_B_6","Glucose","2","2G","B",6,"run2",5.29150262212918,0.792837776267366,1.70015261770397,0.0789163590245481,28
"2G_B_7","Glucose","2","2G","B",7,"run2",5,0.864160140999248,1.78242473278741,0.0949204901250158,25
"2G_C_2","Glucose","2","2G","C",2,"run2",4.35889894354067,0.760206302185383,1.69614375033115,0.112564073529492,19
"2G_C_3","Glucose","2","2G","C",3,"run2",4.35889894354067,0.663275610030146,1.53275797109826,0.102165281616622,19
"2G_C_4","Glucose","2","2G","C",4,"run2",4.35889894354067,0.77433646836226,1.69600272150287,0.114165913071403,19
"2G_C_6","Glucose","2","2G","C",6,"run2",5,0.915833961590662,1.83387407421035,0.0999543334020171,25
"2G_C_7","Glucose","2","2G","C",7,"run2",5.47722557505166,0.764172769253513,1.58994988967484,0.0715739131840566,30
"2G_D_2","Glucose","2","2G","D",2,"run2",4.24264068711929,0.748429845602161,1.73925220595764,0.117426589331719,18
"2G_D_3","Glucose","2","2G","D",3,"run2",4.12310562561766,0.807784286516607,1.95184576011798,0.131937222381889,17
"2G_D_4","Glucose","2","2G","D",4,"run2",4.35889894354067,0.841049239494424,2.00236346693404,0.122042035578476,19
"2G_D_5","Glucose","2","2G","D",5,"run2",5.09901951359279,0.981269733756965,2.01958973515098,0.102609290027808,26
"2G_D_6","Glucose","2","2G","D",6,"run2",5.3851648071345,0.803538459248407,1.74147793242799,0.0770148228786151,29
"2G_D_7","Glucose","2","2G","D",7,"run2",4.89897948556636,0.877897271755181,1.99337507954358,0.100243148567956,24
"2G_E_2","Glucose","2","2G","E",2,"run2",4.47213595499958,0.771480139295843,1.75406005475442,0.108148268783797,20
"2G_E_3","Glucose","2","2G","E",3,"run1",3.16227766016838,0.835099568987424,1.82981670096411,0.230504354771332,10
"2G_E_4","Glucose","2","2G","E",4,"run2",4.89897948556636,0.946491827904157,1.94576980612971,0.107360601573581,24
"2G_E_5","Glucose","2","2G","E",5,"run2",5,0.960866046383129,1.91841863264085,0.104558372136968,25
"2G_E_6","Glucose","2","2G","E",6,"run2",5.19615242270663,0.907430141617232,1.98025049527991,0.0917757915822581,27
"2G_E_7","Glucose","2","2G","E",7,"run2",5,0.894466653593185,2.02188567383465,0.0978412343893382,25
"3C_A_1","Cellulose","3","3C","A",1,"run2",5.91607978309962,1.20296586019087,2.05014118773365,0.0951422440631482,35
"3C_A_2","Cellulose","3","3C","A",2,"run2",6,1.32819513462917,2.32321231936135,0.104839590778826,36
"3C_A_3","Cellulose","3","3C","A",3,"run2",5.8309518948453,1.3121170904642,2.3954079550482,0.10923612731671,34
"3C_A_4","Cellulose","3","3C","A",4,"run2",5.91607978309962,1.73479244935872,3.78788477656876,0.161935752465613,35
"3C_A_5","Cellulose","3","3C","A",5,"run2",5.8309518948453,1.76683942906662,3.78588938165626,0.172127276606364,34
"3C_A_6","Cellulose","3","3C","A",6,"run2",6.08276253029822,1.80075764328041,4.36279000361516,0.163627910160032,37
"3C_A_7","Cellulose","3","3C","A",7,"run1",3.46410161513775,1.70348738412212,4.15067677805722,0.457755872861063,12
"3C_B_1","Cellulose","3","3C","B",1,"run2",5.3851648071345,1.30500525809867,2.42135342426974,0.127162361516866,29
"3C_B_2","Cellulose","3","3C","B",2,"run2",5.91607978309962,1.37734661875608,2.46844054405695,0.113267676520419,35
"3C_B_3","Cellulose","3","3C","B",3,"run2",6.2449979983984,1.50901873566648,3.00876276264762,0.115956180858315,39
"3C_B_4","Cellulose","3","3C","B",4,"run2",5.91607978309962,1.95026027228146,5.10116906003691,0.200871919749421,35
"3C_B_5","Cellulose","3","3C","B",5,"run2",5.56776436283002,1.78087697271543,4.0778442409809,0.191453516832703,31
"3C_B_6","Cellulose","3","3C","B",6,"run2",5.74456264653803,1.86253818017753,4.78699141429478,0.195153396433146,33
"3C_B_7","Cellulose","3","3C","B",7,"run1",3.74165738677394,1.81076359198767,4.63930850783544,0.436793935914433,14
"3C_C_1","Cellulose","3","3C","C",1,"run2",6,1.24120090270179,2.14202805783147,0.0961046059192497,36
"3C_C_2","Cellulose","3","3C","C",2,"run2",5.74456264653803,1.22317386598782,2.00485062066252,0.102968342179336,33
"3C_C_3","Cellulose","3","3C","C",3,"run2",5.19615242270663,1.05114170237577,1.85640499216086,0.105959835862758,27
"3C_C_4","Cellulose","3","3C","C",4,"run2",6.32455532033676,1.59931355959729,2.87434343210722,0.12374084073729,40
"3C_C_5","Cellulose","3","3C","C",5,"run2",5.47722557505166,1.60781727126125,3.0422879455366,0.166396778559485,30
"3C_C_6","Cellulose","3","3C","C",6,"run2",6,1.99220592512877,5.05560311804609,0.203658030395595,36
"3C_C_7","Cellulose","3","3C","C",7,"run1",4.12310562561766,1.8490921795163,4.51635079802948,0.373767562826958,17
"3C_D_1","Cellulose","3","3C","D",1,"run2",5.74456264653803,1.25839595961266,2.16167633545144,0.106659730359153,33
"3C_D_2","Cellulose","3","3C","D",2,"run2",5.3851648071345,1.32415066545724,2.28214079468428,0.129620391641372,29
"3C_D_3","Cellulose","3","3C","D",3,"run2",5.65685424949238,1.13578009753853,2.00744040569618,0.0973000471446813,32
"3C_D_4","Cellulose","3","3C","D",4,"run2",5.91607978309962,1.71551346438531,3.56397734001314,0.15884369714171,35
"3C_D_5","Cellulose","3","3C","D",5,"run2",6.2449979983984,1.75705157554096,3.52877834721168,0.148598079522325,39
"3C_D_6","Cellulose","3","3C","D",6,"run2",5.56776436283002,1.76095401850858,4.09258732947861,0.187676942361191,31
"3C_D_7","Cellulose","3","3C","D",7,"run1",3.74165738677394,1.69700347223635,4.1549508827833,0.389826364831278,14
"3C_E_2","Cellulose","3","3C","E",2,"run2",5.65685424949238,1.44248038122657,2.7890524467455,0.132224304558747,32
"3C_E_3","Cellulose","3","3C","E",3,"run2",4.89897948556636,1.17844602661999,2.204145595497,0.135388371640031,24
"3C_E_4","Cellulose","3","3C","E",4,"run2",5.8309518948453,1.45674176204458,2.60458840010993,0.12623389761917,34
