"Sample_Name","Substrate","Frequency","Substrate_Frequency","Replicate","Time","Run","MDS1","MDS2","MDS3"
"2G_A_2","Glucose","2","2G","A",2,"run1",0.816637425944636,-0.151781418732451,-0.120065815956397
"2G_B_1","Glucose","2","2G","B",1,"run1",0.935100128081047,-0.0498832210640327,-0.0328808206098651
"2G_E_3","Glucose","2","2G","E",3,"run1",0.959481682145722,-0.124997534646301,-0.0965388316146267
"3C_A_7","Cellulose","3","3C","A",7,"run1",-0.427762332503077,-0.304959518852873,0.337962855609318
"3C_B_7","Cellulose","3","3C","B",7,"run1",-0.132472344766007,-0.11468762213528,0.716623875725593
"3C_C_7","Cellulose","3","3C","C",7,"run1",-0.587997569868211,-0.274100853315437,0.341566291753941
"3C_D_7","Cellulose","3","3C","D",7,"run1",-0.101184760802016,-0.0675663133128707,0.773387777984721
"3C_E_6","Cellulose","3","3C","E",6,"run1",-0.822572868990045,-0.170840466232238,0.453364643640363
"3C_E_7","Cellulose","3","3C","E",7,"run1",-0.658329315923328,-0.250760351633756,0.374467394619434
"3G_B_7","Glucose","3","3G","B",7,"run1",1.0139574337014,-0.0567460091583965,-0.308781509546581
"3G_C_7","Glucose","3","3G","C",7,"run1",1.0198488611739,-0.0545262744979857,-0.183898845238892
"3G_D_7","Glucose","3","3G","D",7,"run1",1.03620281186742,-0.069535858261559,-0.22779204053021
"5C_A_1","Cellulose","5","5C","A",1,"run1",-1.23123168472074,-0.32510325900172,-0.0208658950134378
"5C_A_2","Cellulose","5","5C","A",2,"run1",-1.33613977993807,-0.330497318384371,0.128856198464678
"5C_A_3","Cellulose","5","5C","A",3,"run1",-1.38914467259154,-0.382540103713971,0.114602977811422
"5C_A_4","Cellulose","5","5C","A",4,"run1",-1.3525590382651,-0.377124446554206,0.138884948582395
"5C_A_5","Cellulose","5","5C","A",5,"run1",-1.27262536499928,-0.432387283579948,0.050851187230738
"5C_A_6","Cellulose","5","5C","A",6,"run1",-1.2878794502878,-0.3846288098691,0.482910445944867
"5C_A_7","Cellulose","5","5C","A",7,"run1",-0.547169231898256,-0.475126132234289,-0.387107067988286
"5C_B_2","Cellulose","5","5C","B",2,"run1",-1.34861728631977,-0.342750428952573,0.0633292546447248
"5C_B_3","Cellulose","5","5C","B",3,"run1",-1.29861855500462,-0.360014016431467,-0.0559576697968132
"5C_B_4","Cellulose","5","5C","B",4,"run1",-1.34193694399219,-0.411377651327151,0.281948756166759
"5C_B_5","Cellulose","5","5C","B",5,"run1",-1.30630832171968,-0.38313885821623,0.0473417141835246
"5C_B_6","Cellulose","5","5C","B",6,"run1",-1.37322266614007,-0.398705424877707,0.235529228971072
"5C_B_7","Cellulose","5","5C","B",7,"run1",-1.03736609854622,-0.606777799150387,-0.469527518147546
"5C_C_1","Cellulose","5","5C","C",1,"run1",-1.23364330787411,0.214051474275386,0.0932434486617267
"5C_C_2","Cellulose","5","5C","C",2,"run1",-1.31129740531935,-0.0116714471941084,0.22803053955732
"5C_C_3","Cellulose","5","5C","C",3,"run1",-1.29005607908316,-0.106512641469969,0.139046219189584
"5C_C_4","Cellulose","5","5C","C",4,"run1",-1.05195433231394,0.17272134099716,-0.322219617270735
"5C_C_5","Cellulose","5","5C","C",5,"run1",-1.02528309051612,-0.258530247328343,-0.201750062820603
"5C_C_6","Cellulose","5","5C","C",6,"run1",-1.34492474702898,-0.18359860731244,0.383478911383728
"5C_C_7","Cellulose","5","5C","C",7,"run1",-0.961852565153185,-0.0466816341942834,-0.418169440117728
"5C_D_1","Cellulose","5","5C","D",1,"run1",-1.15119895902401,0.517552318985865,-0.126675462843653
"5C_D_2","Cellulose","5","5C","D",2,"run1",-1.2490059707515,0.276872532937054,-0.0848260719842676
"5C_D_3","Cellulose","5","5C","D",3,"run1",-1.2613934561244,0.283473432277822,-0.0572220128386282
"5C_D_4","Cellulose","5","5C","D",4,"run1",-1.31576830280981,-0.218837631337065,0.374219287748049
"5C_D_5","Cellulose","5","5C","D",5,"run1",-1.32984081013467,-0.131794570265964,-0.016986836629042
"5C_D_6","Cellulose","5","5C","D",6,"run1",-1.35725516531473,-0.222311131269269,0.458643850895373
"5C_D_7","Cellulose","5","5C","D",7,"run1",-1.13006208560827,0.217237708674797,-0.67805465983356
"5C_E_1","Cellulose","5","5C","E",1,"run1",-1.23555863393814,-0.314634869707509,-0.119861660140632
"5C_E_2","Cellulose","5","5C","E",2,"run1",-1.32386096614554,-0.301213022598574,0.21843133030855
"5C_E_3","Cellulose","5","5C","E",3,"run1",-1.30080931585403,-0.392232091729351,0.0554598095430139
"5C_E_4","Cellulose","5","5C","E",4,"run1",-1.33545642853368,-0.412169826273337,0.27542973590084
"5C_E_5","Cellulose","5","5C","E",5,"run1",-1.11051994886425,-0.468763186894367,-0.286316713845968
"5C_E_6","Cellulose","5","5C","E",6,"run1",-1.33374203608648,-0.391709329020203,0.345063493113324
"5C_E_7","Cellulose","5","5C","E",7,"run1",-0.98447635829397,-0.545141875964837,-0.536621626200848
"5G_A_1","Glucose","5","5G","A",1,"run1",0.983705334996275,0.313964659914857,0.614150152128435
"5G_A_2","Glucose","5","5G","A",2,"run1",1.03222840896077,0.135569840692976,0.343457556207617
"5G_A_3","Glucose","5","5G","A",3,"run1",1.05998199396395,-0.0635297764629442,-0.0949070012251834
"5G_A_4","Glucose","5","5G","A",4,"run1",1.05916439814797,-0.0513108097040818,-0.0504964481933195
"5G_A_5","Glucose","5","5G","A",5,"run1",1.05953692884239,-0.0489553665423236,-0.0462926731132071
"5G_A_6","Glucose","5","5G","A",6,"run1",1.05811301377567,-0.0379952496573878,-0.0214473740470278
"5G_A_7","Glucose","5","5G","A",7,"run1",1.03789851242188,-0.0648266383903699,-0.107108298802438
"5G_B_1","Glucose","5","5G","B",1,"run1",0.997490115294468,0.271348183463726,0.554322798448896
"5G_B_2","Glucose","5","5G","B",2,"run1",1.06390815839073,0.0476322483882583,0.174047184805493
"5G_B_3","Glucose","5","5G","B",3,"run1",1.05803154856627,-0.0676307173125414,-0.111363404689527
"5G_B_4","Glucose","5","5G","B",4,"run1",1.06128343056295,-0.0489775250945465,-0.0504233287521596
"5G_B_5","Glucose","5","5G","B",5,"run1",1.05288307854617,-0.0499659717015858,-0.0434445162235149
"5G_B_6","Glucose","5","5G","B",6,"run1",1.05110266487588,-0.0551034428712478,-0.122648948857761
"5G_B_7","Glucose","5","5G","B",7,"run1",1.05209019454985,-0.0476914254202724,-0.0348775290544562
