,Pseudomonas.1,Asticcacaulis,Cellvibrio,Pseudomonas.2,Cohnella,Lacunisphaera,Taibaiella,Achromobacter,Leadbetterella,Bordetella,Shinella,Xylophilus,Methylophilus,Stenotrophomonas,Pleomorphomonas
1G_B_6,0.56664717,0.002014688,0,0.09709495,0.25697017,0,0.032624943,0,0,0.019496978,0,0.001234809,0,0,0
1G_B_7,0.433438628,0.000789711,0,0.223375451,0.269404332,0,0.028655235,0,0,0.018953069,0,0.001692238,0,0,0
1G_C_4,0.178429818,0.00090631,0,0.415996375,0.358332389,0.000226578,0.022317888,0,0,0.005097995,0,0,0,0,0
1G_C_5,0.235520528,0,0.001466276,0.308651026,0.374266862,0,0.032991202,0.009347507,0,0.012096774,0,0,0.000916422,0,0
1G_C_7,0.269607251,0.001087613,0.001208459,0.309003021,0.349969789,0,0.029003021,0.00652568,0,0.010151057,0,0,0,0,0
1G_D_1,0.349200685,0.000785041,0,0.223879532,0.403225806,0,0.00520982,0,0,0.005352555,0,0.000713674,0,0,0
1G_D_2,0.43701585,0.000595877,0,0.213681325,0.306518889,0,0.026337743,0,0,0.004171136,0,0,0,0,0
1G_D_4,0.331585608,0.00216959,0.000723197,0.361598264,0.257638763,0,0.013921533,0,0,0.009763153,0,0.00198879,0,0,0
1G_D_6,0.494101695,0.005288136,0.001627119,0.190372881,0.214372881,0,0.045966102,0.004610169,0,0.013152542,0,0.002169492,0,0,0
1G_D_7,0.428550808,0.001299076,0,0.24119515,0.23080254,0,0.042580831,0.005773672,0,0.017898383,0,0.001876443,0,0,0
1G_E_1,0.360523763,0.000678952,0,0.263627546,0.352667313,0,0.006013579,0,0,0.006886518,0,0,0.000484966,0,0
1G_E_2,0.494126285,0.002202643,0,0.193979442,0.251835536,0,0.033333333,0,0,0.010279001,0,0,0,0,0
1G_E_4,0.353753541,0.002832861,0.002832861,0.364022663,0.243626062,0,0.010269122,0,0,0.006728045,0,0,0,0,0
1G_E_5,0.476643683,0.002330776,0.001456735,0.221715063,0.228901622,0,0.036029912,0.004370205,0,0.009711566,0,0,0,0,0
1G_E_6,0.650880301,0.002096815,0.000433824,0.112758035,0.127652652,0,0.044683851,0.004482846,0.000108456,0.022920357,0,0.002639095,0.000469976,0,0
2C_A_2,0.01136467,0.193472134,0.073279389,0.093372125,0.454314029,0,0.007364306,0.012637513,0.005545959,0.028820802,0.018365306,0.013092099,0.014364942,0,0
2C_B_2,0.011786276,0.522132006,0.321634364,0.041251964,0.005107386,0,0,0.039942378,0.010738607,0.011262441,0.008905186,0.001309586,0.009952855,0,0
2C_B_3,0.008664741,0.387691624,0.527882693,0.0155521,0.004221284,0,0,0.013552544,0.015329927,0,0.011108643,0,0.003776938,0,0
2C_C_1,0.051655251,0.602739726,0.10216895,0.069349315,0.010844749,0,0,0.059646119,0.003710046,0.023972603,0.026541096,0.002568493,0.028253425,0,0
2C_C_3,0.018555869,0.397068711,0.503563265,0.017749092,0.005781901,0,0,0.016001076,0.013984133,0,0.007529918,0.001748017,0.004840662,0,0
2C_D_1,0.095260833,0.594484899,0.068759699,0.068759699,0.014563686,0,0,0.066491584,0.005729975,0.022203653,0.017786797,0,0.02506864,0,0
2C_D_2,0.046349403,0.527360099,0.241357929,0.048829639,0.009455898,0,0,0.049759727,0.010075957,0.018291738,0.009145869,0,0.012711208,0,0
2C_D_3,0.029557939,0.39183887,0.499346063,0.016871567,0.00196181,0,0,0.016348417,0.015825268,0,0.00980905,0,0.003531258,0,0
2C_E_1,0.035528135,0.543027338,0.189554303,0.088394852,0.008190618,0,0,0.027231146,0.005850441,0.018615041,0.046803532,0.001808318,0.024678226,0,0
2C_E_2,0.014194139,0.510531136,0.359203297,0.038461538,0.005723443,0,0,0.021978022,0.008241758,0,0.018086081,0.000686813,0.010989011,0,0
2G_A_1,0.751330495,0.007317722,0.000532198,0.223523151,0,0,0.001330495,0,0,0.003592336,0,0.004789782,0,0,0
2G_A_2,0.650985378,0.018330155,0,0.229073956,0.006675143,0,0.040898495,0,0,0.014833651,0,0.008476372,0,0,0
