"","Pseudomonas.1","Asticcacaulis","Cellvibrio","Pseudomonas.2","Cohnella","Lacunisphaera","Taibaiella","Achromobacter","Leadbetterella","Bordetella","Shinella","Stenotrophomonas","Xylophilus","Methylophilus","Pleomorphomonas","Nubsella","Devosia","Bosea","Parapedobacter","Youhaiella","Dysgonomonas","Rhodopseudomonas","Azonexus","Pigmentiphaga","Pseudaminobacter","Kaistia","Neorhizobium","Dokdonella","Sphingopyxis","Afipia","Cellulomonas","Herbaspirillum","Mesorhizobium","Phenylobacterium","Microbacterium","Kurthia","Flavobacterium","Candidatus Megaira","Pusillimonas","Saccharofermentans","Nocardioides","Megasphaera","Sporosarcina","Terrisporobacter","Anaerovorax","Terrimonas","Ellin6055","Fibrobacter","Christensenellaceae R-7 group","NK4A214 group","Chishuiella","Acinetobacter","Lachnospiraceae XPB1014 group","Lachnospiraceae UCG-008","Succiniclasticum","Rikenellaceae RC9 gut group","Enterococcus","Succinivibrionaceae UCG-001","Latilactobacillus","Rhodococcus"
"1G_E_6",0.650880300784498,0.00209681501030332,0.000433823795235169,0.112758034778208,0.127652651747948,0,0.0446838509092224,0.00448284588409674,0.000108455948808792,0.0229203571815914,0,0.00719424460431655,0.00263909475434728,0.000469975778171433,0.00151838328332309,0.00524203752575829,0,0.000469975778171433,0,0,0.00488051769639565,0,0,0,0.00101225552221539,0.00018075991468132,0,0,0,0,0,0,0,0,0.000325367846426376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2C_A_2",0.0113646695154105,0.193472133830348,0.0732793890353668,0.0933721247386126,0.45431402854805,0,0.007364305845986,0.0126375125011365,0.00554595872352032,0.028820801891081,0.0183653059369034,0.0129102645695063,0.0130920992817529,0.0143649422674789,0,0,0,0,0,0.00654604964087644,0,0.00136376034184926,0,0.00100009091735612,0.00800072733884899,0.0159105373215747,0,0,0.00045458678061642,0.00672788435312301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2C_B_2",0.0117862755369303,0.522132006286014,0.321634363541121,0.0412519643792562,0.00510738606600314,0,0,0.0399423782084861,0.0107386066003143,0.0112624410686223,0.00890518596123625,0.00248821372446307,0.00130958617077004,0.00995285489785228,0,0,0,0,0,0.00235725510738607,0,0.00183342063907805,0,0.000392875851231011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2C_B_3",0.00866474116862919,0.387691624083537,0.527882692734948,0.015552099533437,0.00422128415907576,0,0,0.013552543879138,0.0153299266829593,0,0.0111086425238836,0.000666518551433015,0,0.00377693845812042,0,0,0,0,0,0.00288824705620973,0,0,0,0,0,0,0,0,0.000444345700955343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2C_C_1",0.0516552511415525,0.602739726027397,0.102168949771689,0.0693493150684932,0.0108447488584475,0,0,0.0596461187214612,0.00371004566210046,0.023972602739726,0.026541095890411,0,0.00256849315068493,0.0282534246575342,0,0,0,0,0,0,0,0,0,0.00199771689497717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2C_C_3",0.018555869302138,0.397068710501546,0.503563264757295,0.017749092375958,0.00578190130428936,0,0,0.0160010757025682,0.0139841333871185,0,0.00752991797767917,0,0.00174801667338981,0.00484066155707947,0,0,0,0,0,0.00255479359956972,0,0.00188247949441979,0,0,0.000806776926179911,0.000672314105149926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2C_D_1",0.0952608332338546,0.594484899128566,0.0687596991763161,0.0687596991763161,0.0145636862838725,0,0,0.0664915840993196,0.00572997493135968,0.0222036528590187,0.0177867971827623,0,0,0.0250686403246986,0,0,0,0,0,0,0,0.00214874059925988,0,0.00131311925510326,0,0,0,0,0,0,0,0,0.000716246866419959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2C_D_2",0.0463494031933034,0.527360099209425,0.241357929003255,0.0488296388156875,0.00945589831033948,0,0,0.0497597271740815,0.0100759572159355,0.0182917377150829,0.00914586885754147,0.000930088358394047,0,0.0127112075647186,0,0,0,0,0,0.00449542706557123,0,0.00263525034878313,0,0.00217020616958611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2C_D_3",0.029557938791525,0.391838869997384,0.499346063301072,0.0168715668323306,0.00196181009678263,0,0,0.0163484174731886,0.0158252681140466,0,0.00980905048391316,0,0,0.00353125817420874,0,0,0,0,0,0.00183102275699712,0,0.0030081088150667,0,0.000784724038713053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2C_E_1",0.0355281353047548,0.543027337517285,0.189554302733752,0.0883948516115307,0.00819061801935964,0,0,0.0272311456228061,0.00585044144239974,0.0186150409530901,0.046803531539198,0.00127645995106904,0.00180831826401447,0.024678225720668,0,0,0,0,0,0.00138283161365812,0,0.00138283161365812,0,0.000957344963301776,0,0.000638229975534518,0,0,0.000744601638123604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
