,input,filtered,denoisedF,denoisedR,merged,nonchim
5G-B-7,4656,4357,4351,4342,4299,4221
5G-C-1,5599,5220,5206,5210,5168,4938
5G-C-2,5265,4923,4921,4908,4859,4620
5G-C-3,5658,5279,5275,5270,5237,5102
5G-C-4,5186,4846,4834,4841,4817,4726
5G-C-5,8813,8378,8365,8366,8313,8168
5G-C-6,7911,7462,7452,7454,7431,7234
5G-C-7,4360,4076,4068,4058,4031,3945
5G-D-1,5148,4868,4861,4855,4823,4736
5G-D-2,4052,3711,3704,3705,3666,3528
5G-D-3,7836,7483,7470,7476,7458,7273
5G-D-4,4285,4103,4096,4098,4080,3938
5G-D-5,4273,4035,4034,4023,3985,3985
5G-D-6,2642,2515,2514,2504,2486,2431
5G-D-7,4743,4468,4460,4451,4439,4356
5G-E-1,4842,4622,4610,4614,4596,4509
5G-E-2,9004,8452,8424,8437,8374,8048
5G-E-3,5865,5459,5451,5447,5411,5299
5G-E-4,6519,6110,6108,6100,6067,5876
5G-E-5,9469,9103,9089,9086,9068,8713
5G-E-6,2975,2793,2790,2789,2779,2742
5G-E-7,2826,2603,2599,2601,2590,2530
7C-A-1,3983,3708,3681,3678,3662,3662
7C-A-2,2507,2321,2306,2295,2264,2260
7C-B-1,3297,3041,3014,3026,3008,3003
7C-C-1,2796,2618,2604,2610,2592,2592
7C-D-1,2720,2564,2532,2551,2506,2502
7C-E-1,1934,1777,1754,1755,1708,1708
7G-A-1,2673,2532,2525,2525,2504,2443
7G-A-2,2980,2838,2833,2833,2825,2752
7G-B-1,3809,3482,3476,3469,3418,3358
7G-B-2,1696,1560,1555,1555,1528,1504
7G-C-2,2770,2634,2629,2626,2623,2574
7G-D-2,3274,3067,3058,3061,3051,2982
7G-E-1,3044,2706,2694,2688,2642,2586
7G-E-2,2799,2651,2640,2645,2634,2584
innoc-1,15046,13477,13373,13430,13249,13206
innoc-2,11689,10721,10647,10682,10558,10548
innoc-3,12242,11117,11047,11065,10935,10905
negative1,49,35,27,21,21,21
negative2,15,6,1,1,0,0
negative3,44,22,16,16,13,13
negative4,39,17,15,6,5,5
sum,1150157,1066213,1062399,1062728,1031662,1019901
